@RELATION Accelerometer

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE accX NUMERIC
@ATTRIBUTE accY NUMERIC
@ATTRIBUTE accZ NUMERIC
@ATTRIBUTE accTotal NUMERIC
@ATTRIBUTE label {lying,running,sitting,standing,walking}

@DATA
170037479,0.098,9.964,-0.157,9.965718689587822,standing
170037487,0.137,9.983,-0.157,9.98517436001996,standing
170037496,0.137,9.924,-0.235,9.927727333080819,standing
170037504,0.157,9.944,-0.275,9.949040657269425,standing
170037512,0.157,9.944,-0.275,9.949040657269425,standing
170037521,0.157,9.924,-0.275,9.92905081062636,standing
170037529,0.177,9.885,-0.314,9.891569642882772,standing
170037538,0.118,9.885,-0.353,9.892004751313053,standing
170037546,0.118,9.865,-0.294,9.870085359306676,standing
170037554,0.039,9.846,-0.314,9.851082833881765,standing
170037563,0.039,9.885,-0.275,9.88890140511068,standing
170037571,0.039,9.885,-0.275,9.88890140511068,standing
170037580,0.020,9.885,-0.235,9.887813206164445,standing
170037588,0.000,9.885,-0.294,9.889371112462106,standing
170037596,0.020,9.905,-0.275,9.908836965052961,standing
170037605,0.000,9.846,-0.235,9.84880403906992,standing
170037613,-0.098,9.885,-0.216,9.88784531634673,standing
170037621,-0.098,9.885,-0.216,9.88784531634673,standing
170037630,-0.020,9.885,-0.275,9.888844725244704,standing
170037638,0.000,9.865,-0.294,9.869379970393277,standing
170037647,0.078,9.885,-0.275,9.88913211561055,standing
170037655,0.118,9.865,-0.235,9.868504141965994,standing
170037663,0.177,9.905,-0.216,9.908935866176549,standing
170037672,0.177,9.905,-0.216,9.908935866176549,standing
170037680,0.177,9.944,-0.216,9.94792043595042,standing
170037689,0.098,9.885,-0.255,9.8887741404079,standing
170037697,0.098,9.885,-0.255,9.8887741404079,standing
170037705,0.118,9.865,-0.235,9.868504141965994,standing
170037714,0.196,9.846,-0.314,9.852955292702793,standing
170037722,0.196,9.846,-0.314,9.852955292702793,standing
170037731,0.177,9.885,-0.294,9.890954958951133,standing
170037739,0.196,9.924,-0.314,9.930900664088831,standing
170037747,0.216,9.944,-0.294,9.95068982533372,standing
170037756,0.137,9.944,-0.333,9.950517272986366,standing
170037764,0.098,9.905,-0.314,9.910460382848013,standing
170037773,0.098,9.905,-0.314,9.910460382848013,standing
170037781,0.039,9.885,-0.314,9.89006279049835,standing
170037789,0.020,9.846,-0.353,9.852346167284217,standing
170037798,-0.059,9.865,-0.333,9.87079505409772,standing
170037806,-0.098,9.846,-0.373,9.853550070913528,standing
170037815,-0.078,9.885,-0.373,9.892342391971681,standing
170037823,-0.078,9.885,-0.373,9.892342391971681,standing
170037831,-0.118,9.885,-0.294,9.890075075549225,standing
170037840,-0.157,9.885,-0.314,9.891231975846082,standing
170037848,-0.137,9.905,-0.333,9.911542917225349,standing
